Movie Name,Year,Duration,Rated,Score,Metascore
Vicky Cristina Barcelona,2008,1h 36m,PG-13,7.1,70
The Hunt,2012,1h 55m,R,8.3,77
Lady Bird,2017,1h 34m,R,7.4,93
500 Days of Summer,2009,1h 35m,PG-13,7.7,76
The Hunt,2020,1h 30m,R,6.6,50
The Surfer,2024,1h 39m,Other,6.9,69
Old,2021,1h 48m,PG-13,5.8,55
The Strangers: Prey at Night,2018,1h 25m,R,5.3,48
Baghead,2023,1h 34m,Other,5.4,51
Irreversible,2002,1h 37m,Other,7.3,51
Nobody,2021,1h 32m,R,7.4,64
The Snowman,2017,1h 59m,R,5.2,23
Cruella,2021,2h 14m,PG-13,7.3,59
Man of Steel,2013,2h 23m,PG-13,7.1,55
Taken,2008,1h 30m,PG-13,7.7,51
Sisu,2022,1h 31m,R,6.9,70
The Tomorrow War,2021,2h 18m,PG-13,6.6,45
Bridesmaids,2011,2h 5m,R,6.8,75
Star Trek,2009,2h 7m,PG-13,7.9,82
Brothers,2009,1h 45m,R,7.1,58
Super Size Me,2004,1h 40m,PG-13,7.2,73
The Rover,2014,1h 43m,R,6.4,64
Kingsman: The Secret Service,2014,2h 9m,R,7.7,60
Scoop,2024,1h 42m,TV-14,6.5,63
The Favourite,2018,1h 59m,R,7.5,91
Jim Henson: Idea Man,2024,1h 51m,Other,7.9,69
Lie with Me,2005,1h 33m,Other,5.2,0
Pirates of the Caribbean: Dead Man's Chest,2006,2h 31m,PG-13,7.4,53
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1,85
That's My Boy,2012,1h 56m,R,5.5,31
The Whale,2022,1h 57m,R,7.7,60
The King's Man,2021,2h 11m,R,6.3,44
Source Code,2011,1h 33m,PG-13,7.5,74
Malena,2000,1h 48m,R,7.4,54
Margin Call,2011,1h 47m,R,7.1,76
The Social Network,2010,2h,PG-13,7.8,95
Watchmen,2009,2h 42m,R,7.6,56
The Irishman,2019,3h 29m,R,7.8,94
Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,8.4,87
The Last Voyage of the Demeter,2023,1h 58m,R,6.1,52
Atonement,2007,2h 3m,R,7.8,85
The Longest Ride,2015,2h 3m,PG-13,7,33
Zootopia,2016,1h 48m,PG,8,78
Suicide Squad,2016,2h 3m,PG-13,5.9,40
Ambulance,2022,2h 16m,R,6.1,55
Ordinary Angels,2024,1h 58m,PG,7.4,57
Lucy,2014,1h 29m,R,6.4,62
Spider-Man: Far from Home,2019,2h 9m,PG-13,7.4,69
Bodies Bodies Bodies,2022,1h 34m,R,6.2,69
The Day After Tomorrow,2004,2h 4m,PG-13,6.5,47
Godzilla,2014,2h 3m,PG-13,6.4,62
Napoleon Dynamite,2004,1h 36m,PG,7,64
Silent Hill,2006,2h 5m,R,6.5,31
Harry Potter and the Chamber of Secrets,2002,2h 41m,PG,7.4,63
Sing 2,2021,1h 50m,PG,7.3,49
The Guest,2014,1h 40m,R,6.7,76
Gifted,2017,1h 41m,PG-13,7.6,60
Lowlifes,2024,1h 30m,Other,6.5,0
Rise of the Footsoldier: Vengeance,2023,1h 52m,Other,5.9,0
The Fast and the Furious: Tokyo Drift,2006,1h 44m,PG-13,6,45
BlackBerry,2023,2h,R,7.4,78
Army of the Dead,2021,2h 28m,R,5.8,57
Prey,2022,1h 40m,R,7.1,71
Pirates of the Caribbean: On Stranger Tides,2011,2h 16m,PG-13,6.6,45
Thirteen,2003,1h 40m,R,6.8,70
It Follows,2014,1h 40m,R,6.8,83
The Great Lillian Hall,2024,1h 50m,TV-14,8.1,78
Bad Boys II,2003,2h 27m,R,6.6,38
Passengers,2016,1h 56m,PG-13,7,41
The Marsh King's Daughter,2023,1h 49m,R,5.9,47
Run Hide Fight,2020,1h 49m,TV-MA,6.3,13
American Gangster,2007,2h 37m,R,7.8,76
Casino Royale,2006,2h 24m,PG-13,8,80
Eternals,2021,2h 36m,PG-13,6.3,52
A Star Is Born,2018,2h 16m,R,7.6,88
Next Goal Wins,2023,1h 44m,PG-13,6.5,44
Scream VI,2023,2h 2m,R,6.5,61
The Unbearable Weight of Massive Talent,2022,1h 47m,R,7,68
Crazy Rich Asians,2018,2h,PG-13,6.9,74
Scott Pilgrim vs. the World,2010,1h 52m,PG-13,7.6,69
Up,2009,1h 36m,PG,8.3,88
Borat,2006,1h 24m,R,7.4,89
The Dry,2020,1h 57m,R,6.8,69
Under the Silver Lake,2018,2h 19m,R,6.5,60
Legally Blonde,2001,1h 36m,PG-13,6.5,59
Emma.,2020,2h 4m,PG,6.7,71
Nocturnal Animals,2016,1h 56m,R,7.5,67
War Dogs,2016,1h 54m,R,7.1,57
Beautiful Boy,2018,2h,R,7.4,62
Sin City,2005,2h 4m,R,8,74
Jurassic World: Fallen Kingdom,2018,2h 8m,PG-13,6.1,51
X-Men: The Last Stand,2006,1h 44m,PG-13,6.6,58
The Count of Monte Cristo,2002,2h 11m,PG-13,7.7,61
